@relation unknown

@attribute sentence string
@attribute NER_DATE numeric
@attribute NER_DURATION numeric
@attribute NER_LOCATION numeric
@attribute NER_MISC numeric
@attribute NER_MONEY numeric
@attribute NER_NUMBER numeric
@attribute NER_ORDINAL numeric
@attribute NER_ORGANIZATION numeric
@attribute NER_PERCENT numeric
@attribute NER_PERSON numeric
@attribute NER_SET numeric
@attribute NER_TIME numeric
@attribute 'access control' {yes,no}
@attribute audit {yes,no}
@attribute availability {yes,no}
@attribute 'capacity and performance' {yes,no}
@attribute legal {yes,no}
@attribute 'look and feel' {yes,no}
@attribute maintainability {yes,no}
@attribute operational {yes,no}
@attribute privacy {yes,no}
@attribute reliability {yes,no}
@attribute recoverability {yes,no}
@attribute security {yes,no}
@attribute usability {yes,no}
@attribute 'other nonfunctional' {yes,no}
@attribute 'database design' {yes,no}
@attribute functional {yes,no}
@attribute documentID string

@data
'The solution should provide a date or time or user stamp of signature event (whether proactive or auto default) for encounter or progress notes.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide a date or time of release of encounter or progress note for administrative or billing process or, alternatively, date or time billing transaction was created based on encounter or progress note.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide minimum data to be captured in the audit log includes the following:',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Access type (i.e., creating, editing, viewing, printing, or electronically transferring all or any part of the patient record)',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'User ID, including National Provider Identifier (NPI) number if available, of person accessing the record',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Location or logical address from which the information was accessed',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Date and time that the information was accessed using NTP or SNTP synchronized time',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'For printing or transferring electronically all or parts of a record that is initiated by a user, reason for transaction entered by user',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution audit log should be operational whenever the solution is available for updates or viewing of the clinical record.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'There may be exceptional circumstances for technical or other reasons when this cannot occur:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'If the solution supports a user command to disable or enable the audit log, such command should be limited to roles associated with users that administer the solution.',0,0,0,0,0,0,0,0,0,0,0,0,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should log all user commands that enable or disable the audit log in the audit log as auditable events.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'If the solution is accepting updates at a time when the audit log is impaired or disabled, a notification of the occurrence of this state will be made available to the solution administrator.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The audit log should support a means of unequivocally determining if it contains gaps when users updated the record while the audit log was not being recorded, even if the audit log was not recorded for a reason other than explicit disablement by a user.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Such determination should be evident solely by examining the audit log.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should not allow deletions or alteration of the contents of the audit log.',0,0,0,0,0,0,0,0,0,0,0,0,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should support a user-friendly output version of the audit log for transmission, printing, or export, which shows all details of events.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,cchcs_rfp
'Audit Support Function: Require documentation of the audit support functionality in the vendor provided user guides and other support documentation, including how to identify and retrospectively reconstruct all data elements in the audit log including date, time and method of entry.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should have the capacity to allow authorized entities to read only access according to agreed upon uses and only as a part of an identified audit subject to appropriate authentication, authorization, and access control procedures.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'Such access should also be subject to appropriate release of information protocols, local audit policies, minimum necessary criteria, and other contractual arrangements and, laws, and:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,cchcs_rfp
'The solution should support an auditor as a class of user.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should limit access to pertinent functions and views only for portions of audit logs covered by the audit.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Access remains controlled by the facility and the same authentication and audit supports would apply.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'Remote access may be offered if agreed to by the clinical data organization subject to the aforementioned protocols and suitable authentication',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should retain all EMR data and clinical documents (including audit logs) for the time periods designated by the EMR solution owner’s policies or legal requirements.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,cchcs_rfp
'Audit logs should be retained as long as clinical records.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,cchcs_rfp
'Provide the ability to destroy, deactivate, or archive EMR data or records in a solutionatic way according to the EHR solution owner’s policies and after legally-prescribed retention periods.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,cchcs_rfp
'The solution should support the use of the National Provider Identifier (NPI) in the EMR audit log to identify the individual provider, or, in situations when an NPI is not available for an individual, a single unique internal provider identifier is assigned.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should support user ID or strong passwords.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should demonstrate the ability to evolve the level of user authentication in the future, as industry standards require.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should provide the capability to produce a business version of each encounter note or progress note which indicates:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'Date or time or user stamp for each entry',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The methods used in the creation of the entry including but not limited to:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Direct entry via integrated hardware keyboard or mouse',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,cchcs_rfp
'Speech recognition',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,cchcs_rfp
'Automated, machine-entered default information',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,cchcs_rfp
'Pre-created documentation via form or template',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,cchcs_rfp
'Copy or import of an object including date or time user stamp of original author',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,cchcs_rfp
'Copy forward previous note contents including date or time user stamp of original author',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,cchcs_rfp
'Dictation or  Transcription',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,cchcs_rfp
'Import from an external solution',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,cchcs_rfp
'If a copy of the encounter note is required or desired to accompany a claim, provide the ability to submit the business version.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should be capable of prompting for omitted necessary administrative data or codes.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'This could include the capability to prompt a physician if the selected E&M code is not consistent with the documentation in the encounter note.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'Prompts that are driven by E&M administrative processes should not explicitly or implicitly direct a user to add documentation.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'This does not apply to prompts for additional documentation for E&M levels already achieved, for medical necessity or for quality guidelines or clinical decision support.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should retain date or time or user stamp of original data entry person when data entered on behalf of another author.',0,0,0,0,0,0,0,0,0,0,0,0,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'If an assistant is used to enter data that will subsequently be signed by a provider, retain the date or time or use stamp of the data entry person as well as the provider.',0,0,0,0,0,0,0,0,0,0,0,0,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should retain the original documents and any amendments after signature event (including automatic closing of record).',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'Any updates after signature event should be handled as amendments.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should have the capacity to allow authorized entities read-only access to the EMR according to agreed upon uses and only as a part of an identified audit subject to appropriate authentication, authorization, and access control functionality.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'Such access controls should also support the applicable release of information protocols, local audit policies, minimum necessary criteria, and other contractual arrangements and, laws, and:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,cchcs_rfp
'The solution should support an auditor as a class of user.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should limit access to pertinent functions and views only for patient records covered by the audit.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Access remains controlled by the facility and the same authentication and audit supports would apply.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'Remote access may be offered if agreed to by the organization subject to the aforementioned protocols and suitable authentication.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should generate and embed a document ID tracking number for patient chart outputs or exports, unique for each instance when a patient chart output or document is printed, electronically communicated, or otherwise exported from the EMR:',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Display tracking number on printed document (regardless of the document format including, but not be limited to pdf, etc. and attach to electronic copy.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Tracking number audit record should contain user creating document, date or time, and an option to include the reason for printing or transferring an electronic copy of the document.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Tracking number function requirement also applies to transfers of information from the EMR solution to a billing solution where these are separate or otherwise independently functioning solutions.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Maintain an audit log of tracking numbers in a file that is treated as a business record of the organization.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,cchcs_rfp
'Allow patient access to his or her own completed records and release of information (disclosure) log, as required by law or agreed to by the clinical provider.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should have the ability to capture patient comments in the EMR.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the capability to document or record that identity-proofing was completed and the method used to verify (i.e., check photo id, prior relationship, or verification of information an individual knows or can produce) consistent with the recommendations of the Confidentiality or Privacy or Security Workgroup of the American Health Information Community.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,cchcs_rfp
'The EHR solution should have the ability to accept structured and coded data for existing data standards.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,cchcs_rfp
'Support directly capturing clinical information from the clinician in structured and coded form to the maximum degree possible consistent with the principle of not adversely impacting user productivity.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,cchcs_rfp
'Transmit clinical information to other information solutions using standards that retain the available level of coding and structure, such as the HL7 Clinical Data Architecture',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Require a traceable and auditable path from a claim payment or a transmission of a pay for performance payment to the clinical documentation supporting it.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Information transmitted to a claims preparation solution will include the Document ID tracking number generated in the EHR traceability requirement above.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'All information transmitted for the purposes of supporting claims or pay for performance payments will be logged in an audit file that cannot subsequently be changed by a user or administrator of the EHR solution.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The audit file will include the time at which the submission was created and any relevant document ID tracking numbers generated under the EHR traceability requirement above.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The Secretary adopts the content exchange standard and associated implementation specification: Patient summary record - Health Level Seven Clinical Document Architecture (CDA) Release 2, Continuity of Care Document (CCD).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The Healthcare Information Technology Standards Panel (HITSP) Summary Documents Using HL7 CCD Component HITSP or C32 ASTM E2369 Standard.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The Secretary adopts the content exchange standard and associated implementation specification: Electronic prescribing.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,cchcs_rfp
Standard.,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The National Council for the Prescription Drug Programs (NCPDP) Prescriber or Pharmacist Interface SCRIPT standard, Implementation Guide, Version 8, Release 1 (Version 8.1) October 2005.',1,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The NCPDP Prescriber or Pharmacist Interface SCRIPT standard, Implementation Guide, Version 8, Release 1 (Version 8.1) October 2005.',1,0,0,1,0,1,0,0,0,0,0,0,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,cchcs_rfp
'NCPDP SCRIPT Standard, Implementation Guide, Version 10.6.',0,0,0,1,0,1,0,0,0,0,0,0,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The Secretary adopts the content exchange standard and associated implementation specification: Electronic submission to public health agencies for surveillance or reporting.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,cchcs_rfp
